country,iso,gdp,population,year,tariff_f,duty_f,quota_f,voluntary_restraint_f,subsidy_f,dumping_f,license_f,rules-of-origin_f,safeguard_f,tax_f,preferential_f,regional_f,bound_f,applied_f,trademark_f,intellectual_property_f,copyright_f,countervailing_f,unfair_f,fair_trade_f,trade_facilitation_f,tariff_lf,duty_lf,quota_lf,voluntary_restraint_lf,subsidy_lf,dumping_lf,license_lf,rules-of-origin_lf,safeguard_lf,tax_lf,preferential_lf,regional_lf,bound_lf,applied_lf,trademark_lf,intellectual_property_lf,copyright_lf,countervailing_lf,unfair_lf,fair_trade_lf,trade_facilitation_lf,section_number,section_name,words,paragraphs,text
albania,ALB,11926892453.0,2876101.0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.81,export procedures,132,3,"['3.2.1  Export procedures and requirements', '3.80.  Albanian  legislation  on  customs  matters,  including  exports,  is  contained  in  the  Customs Code (Law No. 8449 of 27 January 1999), as amended. Export procedures are the same for goods transported by air, by sea or by road.', '3.81.  Goods that are not subject to prohibition or restriction measures and with a value of up to lek 100,000, may be cleared for export directly at the border; the customs declaration does not need  to  be  submitted  in  advance.  This  provision  does  not  apply  when  the  person  making  the export declaration is a professional customs agent. In all other cases, export declarations must be submitted  to  Customs  prior  to  export.  Based  on  risk  analysis,  exports  are  inspected  prior  to loading into containers. There are no registration requirements for exporters or export products. Export declarations are processed electronically.']"
barbados,BRB,4587550000.0,284996.0,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1.81,export procedures,344,5,"['3.2.1  Export procedures and requirements', '3.73.  Required export documents generally consist of: a customs declaration form, a commercial invoice,  a  certificate  of  origin  for  preferential  exports,  a  central  bank  form,  a  bill  of  lading,  a shipping  instruction  form,  and  an  export  declaration  form.  The  Central  Bank  Exchange  Control Form  must  be  verified  by  the  Entry  Processing  Office  of  the  port  at  which  the  goods  are  being shipped. Like for imports, Customs uses a four-lane system: green, yellow and red lanes, plus a blue lane for verification. For exports classified under the green lane, documentation processing is carried  out  online.  For  exports  designated  as  belonging  in  the  yellow  or  red  lanes,  all  relevant documents must be presented at the Entry Processing Office of the port at which the goods are being shipped. Yellow lane procedures require document inspection only, while red lane procedures require  document  and  physical  inspection.  Exported  goods  may  also  be  subject  to  physical examination when there is a VAT refund.', '3.74.  The  registration  of  exporters  carrying  out  exports  on  an  MFN  basis  is  not  required,  but exporters  wishing  to  benefit  from  trade  preferences  must  complete  this  step.  The  Certification Service at the Barbados Investment and Development Corporation (BIDC) delivers certificates of origin that allow exporters to benefit from preferences under CARICOM, CBI, CARIBCAN, and for exports  to  Colombia,  Cuba,  Dominican Republic,  and  Venezuela  under  CARICOM  trade arrangements.  The  Customs  and  Excise  Department  provides  certification  under  the  EU-CARIFORUM EPA.', '3.75.  Special  conditions  apply  for  the  exportation  of  goods  benefiting  from  regimes  such  as ex-warehouse, transhipment, drawbacks and temporary admission. In these cases, a bond must be deposited with the Customs and Excise Department, which may also examine the goods to be exported to verify quantities, descriptions, and values.', '3.76.  The exportation of live animals requires a sanitary certificate from the Veterinary Office of the Ministry of Agriculture. The Veterinary Office also issues Veterinary Export Health Certificates for  the  exportation  of  fresh  and  processed  foods  of  animal  origin,  if  required  by  the  recipient country. Prior to this, the exporter must obtain a certificate of wholesomeness from the Ministry of Health. This certificate is verified by Customs at the moment of exportation.']"
belize,BLZ,1765256400.0,366954.0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.81,export procedures,100,2,"['3.2.1  Export procedures and requirements', '3.73.  As for importers, exporters must obtain an automatically issued code from the Customs and Excise  Department.  The  documents  required  are:  bill  of  lading,  commercial  invoice,  customs export declaration, packing list (Table 3.1), as well as the Single Administrative Document (C-100 form),  the  Exchange  Control  Regulation  form  (XCH2  form),  and  an  E100  form  for  exports  to  the EU.  When  required,  export  licences,  certificates  of  origin,  and  phytosanitary  certificates  must  be presented  as  well.  For  warehoused  goods,  exporters  must  provide  a  bond  to  the  Comptroller  of Customs  to  ensure  that  the  goods  will  be  shipped  outside  Belize  within  a  reasonable  period  of time.']"
brunei_darussalam,BRN,11400266877.0,423196.0,2014,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.1.81,export procedures,234,4,"['3.2.1  Export procedures and requirements', '3.55.  Exporters must be registered with the Royal Customs and Excise Department (RCED) and must appoint a forwarding agent who should also be registered with the RCED. All exports from Brunei shall be declared through electronic submission via e-Customs system. Invoices and other related  documents  shall  be  presented  during  customs  clearance.  However,  for  restricted  and/or controlled  items,  supporting  documents,  such  as  export  permit(s)  from  relevant  government agencies may be required.', '41 Meat products must carry the halal label when sold in Brunei (Emergency (Halal Meat) Order 1998).', '\x0cWT/TPR/S/309 • Brunei Darussalam', '- 39 -', ""3.56.  During the review period, two IT applications were implemented to make export procedures paperless:  (i)  the  Brunei's  e-Customs42  in  2008;  and  (ii)  the  Brunei  Darussalam  National  Single Window (BDNSW) to process several trade-related requests, including certificates of origin. At the regional level, Brunei has appointed ten certified exporters to participate in the pilot project for the ATIGA Self-Certification System.43 The System allows certified exporters to self-certify that export products comply with ASEAN rules of origin. The declaration of origin is made on the invoice or any commercial document. The test period ends on 31 December 2015.44"", '3.57.  According to the latest estimates from the World Bank, export procedures in Brunei take 19 days and cost US$705 per container (27 days and US$515 per container in 2008).45 There are no customs fees for export procedures or registration; goods in transit via Brunei have fees ranging from B$10 to B$100 depending on their type or nature.']"
cabo_verde,CPV,1617467436.0,539560.0,2015,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.81,export procedures,200,4,"['3.3.1  Export procedures and requirements', ""3.58.  Decree-Law No. 68/2005 of 31 October 2005 constitutes the legal basis for the regulation of exports.  Prior  to  exportation,  prospective  exporters  need  to  register  with  the  Conservatory of Commercial Registry and hold a valid traders' ID card. Non-preferential certificates of origin are issued by the General Directorate of Trade (at the Ministry of Tourism, Investment and Business Development)  and  signed  by  Customs  at  the  point  of  exit.  Cabo  Verde  Customs  processed 385 Form-A certificates during 2014."", '3.59.  The  2010  Customs  Code  includes  special  provisions  with  respect  to  ""suspensive  and economic""  regimes  for  inward  processing,  temporary  importation,  outward  processing,  and temporary  exportation.  The  use  of  such  procedures  requires  prior  authorization  of  the  customs authorities (Article 381) and the posting of a guarantee (Article 384). Transit and transhipment is regulated according to Chapter IX of the Customs Code.', '3.60.  Cabo  Verde\'s  system  for  drawback  of  customs  duties  is  laid  down  in  Article  436  of  the Customs Code. Import duty may be repaid for goods subsequently exported in unaltered state or processed  into  ""compensating  products""  that  are  exported  or  placed  in  a  free  zone.51 Drawback may be claimed within one year of importation of the goods in question. The period may be extended by 90 days (twice) upon decision by the Director-General of Customs.']"
canada,CAN,1530000000000.0,36286425.0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.81,export procedures,528,5,"['3.2.1  Export procedures and requirements', '3.92.  Businesses  and  individuals  are  required  to  create  an  export  or  an  import/export  Business Number account with the Canada Revenue Agency before exporting commercial goods. The use of the services of a customs broker or freight forwarder is not mandatory.', '3.93.  In  accordance  with  the  Customs  Act  (Part  V),  exporters,  carriers  and  customs  service providers  are,  in  general,  required  to  report  goods  being  exported  from  Canada.  The  main objectives  of  such  reporting  are  statistical  purposes  and  to  control  the  export  of  strategic, dangerous,  and  other  controlled  and  regulated  goods.  The  minimum  timeframe  for  export reporting depends on the mode of transportation and the nature of the goods to be exported. In general,  the  timeframe  is  two  hours  prior  to  loading  for  goods  to  be  exported  by  air,  rail  or through the post office, and 48 hours for goods to be loaded onto a vessel in the marine mode. Goods exported through highways and time-sensitive goods may be reported immediately before they  are  exported.  A  variety  of  exemptions  to the  reporting  requirement  are  in  place  and  cover transactions such as exports to the United States, or transactions related to goods having a value of  less  than  Can$2,000  (provided  that  they  are  non-restricted  exports).  There  is  a  general exemption  for  items  such  as:  personal  and  household  effects;  goods  exported  for  repair  or', '59 A list of susceptible species of aquatic animals may be viewed at: http://inspection.gc.ca/animals/', 'aquatic-animals/diseases/susceptible-species/eng/1327162574928/ 1327162766981.', '60 WTO - SPS Information Management System (SPS IMS). Viewed at: http://spsims.wto.org/.', '61 WTO document G/TBT/M/59, 8 May 2013.', '62 In June 2012, Canada sought comments from Members on a document called ""The Case for Change""', '- which outlined the proposed core components of an improved inspection model (WTO Document G/TBT/N/CAN/365, 18 June 2012). The second opportunity was in August 2012, when Canada sought feedback on its draft improved food inspection model (WTO document G/TBT/N/CAN/365/Rev.1, 24 August 2012).', '63  WTO Document G/SPS/N/CAN/613/Rev.1/Add.2, 3 April 2013.', '\x0cWT/TPR/S/314 • Canada', '- 74 -', 'warranty  repair;  goods  exported  by  diplomatic embassies;  goods  in  transit;  and  goods  removed from a bonded warehouse or sufferance warehouse.', '3.94.  Exporters  may  file  their declaration manually  using  the  B13A  form,  or  electronically  using either the Canadian Automated Export Declaration (CAED) or the G7 Electronic Data Interchange (EDI) Export Reporting systems. Registration is required prior to the use of the electronic reporting systems. There is no fee related to the CAED system. Over the past three years, CBSA has been taking  steps  to  eliminate  the  manual  reporting  process  and  replace  it  with mandatory  electronic reporting. Through the Export Summary Program, qualified businesses may be allowed to report their exportations on a monthly basis, provided that the goods are bulk and homogenous.', '3.95.  Goods reported in accordance with the Customs Act may be subject to physical inspection in order to ensure compliance with the legislation. In the case of goods that are not reported under the  provisions  of  the  legislation,  CBSA  must  have  reasonable  grounds  that  a  regulation  is  being contravened in order to target them for any physical examination. The inspection is free of charge, but the exporter is responsible for the costs related to the unloading and reloading of the cargo, and charged by third-parties. The exporter may be required to produce a proof of exports in some circumstances.  It  is  the  case  for  instance  for  goods  imported  temporarily  and  subsequently exported.64 Penalties for non-compliance are assessed through the AMPS (Section 3.1.1).']"
china,CHN,11200000000000.0,1378665000.0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.81,export procedures,438,4,"['3.2.1  Export procedures and requirements', '3.92.  Exporters  must  register  with  Customs  before  making  customs  declarations.  These  can  be done either by a natural person or by a customs declaration enterprise once goods arrive at the customs  surveillance  zone.103  The  declaration  must  be  made  at  least  24  hours  prior  to  loading, otherwise an overdue declaration fee is charged.', ""3.93.  Exporters  must  comply  with  the  requirements  stipulated  in  the  Catalogue  of  Import  and Export Commodities Subject to Compulsory Inspection104, which is amended every year to add or subtract commodities as required for the protection of human and animal health, the environment, and national security, and to promote steady export growth and adjust the export structure.105 The last amendment, which took place on 31 December 2014, deleted one tariff line at the HS 10-digit level from the list of export items subject to inspection and quarantine requirements and added another  item  (children's  car  seats  –  HS  9401.80.90.91).106  Some  items,  such  as  dangerous chemicals, fireworks, lighters, toys and strollers, food products, and rare earths, are still subject to export  inspection.107  Exports  must  be  inspected  where  they  are  produced.  The  packaging  of exports  of  dangerous  chemicals  and  other  dangerous  goods  must  also  undergo  inspection  and tests.108"", '3.94.  Under  the  Reform  of  Classified  Customs  Clearance,  initiated  in  2009  and  adopted  by  all customs  offices  to  facilitate  export  procedures,  enterprises  were  classified  into  different  groups based  on  risk  analysis.109  Customs  inspection  and  supervision  depended  upon  the  enterprise\'s rating. Goods exported by high-risk enterprises were inspected while other exports were released through fast-track clearance or a ""low-risk examination"".110 In 2015, the enterprise classification system was  amended, and enterprises are now categorized according to their credit rating into: authorized enterprises (former AA and A), enterprises of general integrity (former category B), and dishonest enterprises.111 The Reform of Paperless Customs Clearance, which was initiated in 2012 as a pilot programme, was extended to the rest of the country in 2014. After implementation of this  Reform,  enterprises  only  need  to  submit  declaration  forms  and  any  other  accompanying documents in electronic format, to clear customs procedures.112', '102 WTO document G/SPS/R/79, 4 September 2015. 103 The Provisions of the Customs Administration of Declarations for the Import and Export of Goods', '(GACC Decree No. 218). Viewed at: http://www.customs.gov.cn/publish/portal0/tab49564/info701048.htm (in Chinese only).', '104 The authorities have stated that this Catalogue is now called Catalogue of Entry-Exit Commodities', 'Inspected and Quarantined by Entry-Exit Inspection and Quarantine Organs.', ""105 Central People's Government online information. Viewed at: http://www.gov.cn/jrzg/2013-"", '08/01/content_2459772.htm.', '106 GACC and AQSIQ [2014] Announcement No. 146. Viewed at:', 'http://www.aqsiq.gov.cn/xxgk_13386/jlgg_12538/zjgg/2014/201501/t20150106_429636.htm (in Chinese only).', ""107 Central People's Government online information. Viewed at: http://www.gov.cn/jrzg/2013-"", '08/01/content_2459772.htm.', '08/01/content_2459772.htm.', ""108 Central People's Government online information. Viewed at: http://www.gov.cn/jrzg/2013-"", '109 GACC Announcement [2010] No. 56. Viewed at:', 'http://www.customs.gov.cn/publish/portal0/tab399/info237228.htm (in Chinese only).', '110 GACC Announcement [2009] No. 33. Viewed at:', 'http://www.customs.gov.cn/publish/portal0/tab1/info174780.htm (in Chinese only); and more information concerning classified customs clearance can be viewed at: http://www.gov.cn/gzdt/2012-07/04/content_2176701.htm (in Chinese only).', '111 GACC Announcement [2015] No. 31, Decision of Classification of Goods. Viewed at:', 'http://www.customs.gov.cn/publish/portal0/tab49659/info761279.htm (in Chinese only).', '112 GACC Decree [2014] No. 25, Announcement on Further Promoting Paperless Customs Clearance.', 'Viewed at: http://www.customs.gov.cn/publish/portal0/tab49564/info702038.htm (in Chinese only).', '\x0cWT/TPR/S/342 • China', '- 73 -']"
dominican_republic,DOM,71583553488.0,10648791.0,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.81,export procedures,475,6,"['3.2.1  Export procedures and requirements', '3.92.  The most important change with regard to export procedures during the review period was no doubt the generalization of use of the DUA and the SIGA in 2011, as well as the introduction of an AEO category (Section 3.1.1).', '3.93.  All  natural  or  legal  persons  wishing  to  export  have  to  submit  the  following  documents: (a) the  DUA;  (b)  the  commercial  invoice;  (c)  the  shipping  documents;  (d)  the  export  permit or sanitary,  phytosanitary  or  animal  health  certificate,  as  applicable  (Section  3.1.9);  and (e) the certificate of origin for goods  subject to tariff preferences under any trade agreement.149 As mentioned  in  Section  3.1,  the  DUA  is  used  for  declaring  both  imports  and  exports150  and replaces the previous forms.', ""3.94.  Since  2012,  exporters  have  had  to  submit  their  declarations  electronically  through  SIGA's website  and  not  through  the  SIVUCEX151,  which  has  ceased  to  operate.  This  single  window  has been  replaced  by  the  VUCE152,  which  covers  not  only  export  procedures  but  also  imports  and  is one of the modules in the SIGA electronic platform. The VUCE was created in 2012 and the plan is to introduce it as a pilot project in selected sites in the Dominican Republic. It is expected that it will be fully implemented throughout the country in 2016."", ""3.95.  In the same way as importers, exporters must be registered in the RNC in order to engage in their commercial activities. Apart from the RNC, the authorities have indicated that there is no special registration requirement for exporters, except for those wishing to take advantage of any support mechanism (Section 3.2.4.2)153 or to export metal waste. In the latter case, since 2013 any  natural  or  legal  person  engaged  in  exporting  metal  waste  has  had  to  be  registered  in  the National  Register  for  Trade  and  Export  of  Metal  Waste,  Scrap  Metal  and  Other  Copper  or Aluminium Waste and their Alloys, as provided by Decree No. 334-07 of 2007.154 The Register is administered by the Dominican Republic Export and Investment Center (CEI-RD), which sends an Exporter's  Registration  card  to  companies  established  in  the  Dominican  Republic,  and  by  the"", 'http://spsims.wto.org.', '144 Article 57 of Law No. 166-12 and WTO SPS Information Management System. Viewed at:', '145 WTO document WT/TPR/S/207/Rev.1 of 3 March 2009. 146 Including a notification on recognition of equivalence. 147 Data provided by the authorities. 148 WTO SPS Information Management System. Viewed at: http://spsims.wto.org/Default.aspx?Lang=1.  149 The requirements for obtaining certificates of origin differ depending on the trade agreement. 150 Previously, one form was used for exports and another for imports. 151 The SIVUCEX had existed since 2005. 152 Decree No. 470-12 of 12 December 2014. 153 These are the programmes provided by Law No. 84-99 (Article 11) and its implementing Regulations', '(Article 2) and in Law No. 392-07 (Articles 13(d) and 40).', '154 Decree No. 334-07 of 3 July 2007.', '\x0cWT/TPR/S/319 • Dominican Republic', '- 70 -', 'National Council for Free Export Zones (CNZFE) in the case of companies covered by the free-zone regime (Section 3.2.4).155 Registration is valid for one year and may be renewed.156', '3.96.  Since 2012 the Dominican Republic has had an AEO category (Section 3.1.1) through which it seeks to facilitate and speed up trade transactions for low-risk firms.']"
european_union,EUU,16400000000000.0,511497415.0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1.81,export procedures,494,6,"['3.2.1  Export procedures and requirements', '3.75.  On 29 December 2015, the EU published Commission Delegated Regulation (EU) 2015/2446 and  Commission  Implementing  Regulation  (EU)  2015/2447,  both  providing  detailed  rules supplementing and implementing the UCC, which came into effect on 1 May 2016.', '3.76.  Under the UCC, for goods to be taken out of the customs territory of the EU a pre-departure declaration must be lodged electronically with the competent customs office within a specific time-limit before the goods are taken out of the customs territory of the EU, normally before departure or,  in  the  case  of  a  deep  sea  container  port,  before  loading.  There  are  some  exceptions  to  the requirement for a pre-departure declaration, in principle for electrical energy and goods leaving by pipeline.84', '3.77.  Goods  to  be  taken  out  of  the  customs  territory  of  the  Union  are  subject  to  customs supervision  and  may  be  subject  to  customs  controls.  A  hard  copy  of  the  Export  Accompanying Document  is  no  longer  to  be  presented  at  the  office  of  exit;  only  the  Master  Reference  Number needs  to  be  notified.  The  Export  Control  System  (ECS)  is  a  trans-European  system  enabling  EU member States to exchange the export declaration data and exit information between the customs office of export and the customs office of exit. The ECS covers indirect exports, where goods are exported  from  one  member  State  and  exit  the  customs  territory  of  the  Union  from  another member State, meaning that the Office of Export and the Office of Exit are located in two different member States. For indirect exports, the usage of the ECS  has been mandatory since July 2009. Direct  exports,  where  the  Office  of  Export  and  Office  of  Exit  are  in  the  same  member  State,  are handled  by  the  National  Export  System  of  each  member  State.  The  ECS  will  be  replaced  by  the Automated  Export  System  (AES)  and  will  be  built  on  the  functionalities  of  the  current  Export Control System Phase 2 (ECSP2) and will cover the changes introduced by the UCC. According to the  Commission,  new  customs  simplifications,  such  as  centralized  clearance,  require  the development of new system functionalities in the AES.', '3.78.  Certain provisions of the UCC will only be implemented when the AES is deployed in order to support the new functionalities. For that purpose, the European Commission adopted an additional Regulation85  that  lays  down  provisions  for  a  transitional  period  between  1  May  2016  and 31 December 2020, during which these electronic customs enhancements are to be finalized.', '3.79.  Regarding  the  definition  of  an  exporter  under  Article  1(19)  of  the  UCC  Delegated  Act,  the exporter must: (i) have the power to determine that the goods are to be brought outside the EU; and  (ii)  be  established  in  the  customs  territory  of  the  EU.  In  this  respect,  being  ""established"" means  that  the  exporter  is  a  person  having  in  the  EU:  a  registered  office;  headquarters;  or  a permanent  business  establishment.  Thus,  non-EU  companies  are  able  to  export  goods  out  of  the EU if they do so through an exporter as defined in Article 1(19) of the UCC Delegated Act, such as a  customs  representative  that  is  identified  as  being  responsible  for  complying  with  the  export procedure.']"
fiji,FJI,4631626234.0,898760.0,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.1.81,export procedures,92,3,"['3.2.1  Export procedures and requirements', '3.62.  All  commercial  exporters  must  be  registered  with  the  FRCA  and  have  a  tax  identification number (TIN).  Exporters of some goods must be registered with the appropriate authority. These are  mainly  specific  agricultural  products  exported  to  certain  markets  under  bilateral  quarantine arrangements,  whereby  governments  insist  Fiji  impose  such  requirements  to  address  SPS concerns (section 3.1.9). Export valuations may be checked by the FRCA, e.g. for goods subject to export taxes.', '3.63.  According  to  the  latest  estimates  from  the  World  Bank,  exporting  a  standard  container  of goods requires 11 documents, takes 19 days and costs US$790.29']"
